dob,height,name,reach,stance,url
"May 12, 1987","5' 8""",Austin Springer,"71""",Orthodox,http://ufcstats.com/fighter-details/37cc294027f55e4d
"Jun 09, 1989","6' 0""",Bill Algeo,"73""",Switch,http://ufcstats.com/fighter-details/9abc648e76c4493a
"Jan 17, 1994","5' 11""",Impa Kasanganay,"75""",Orthodox,http://ufcstats.com/fighter-details/257b0c8d6f199895
"Jan 19, 1990","5' 6""",Timur Valiev,"67""",Orthodox,http://ufcstats.com/fighter-details/45e738622ea2c02c
"Nov 23, 1992","6' 1""",Matthew Semelsberger,--,,http://ufcstats.com/fighter-details/4aa58269d0664b5b
"Apr 26, 1993","5' 10""",Carlton Minus,"74""",Orthodox,http://ufcstats.com/fighter-details/40d8b74488743800
"Oct 07, 1991","6' 2""",Jordan Wright,"77""",Orthodox,http://ufcstats.com/fighter-details/c878270af633eb11
"Aug 04, 1990","5' 7""",Trevin Jones,"70""",Southpaw,http://ufcstats.com/fighter-details/ec23c1be628d8057
"Aug 19, 1982","6' 4""",Stipe Miocic,"80""",Orthodox,http://ufcstats.com/fighter-details/d28dee5c705991df
"Mar 20, 1979","5' 11""",Daniel Cormier,"72""",Orthodox,http://ufcstats.com/fighter-details/d967f0128c323de6
"Dec 02, 1992","5' 8""",Marlon Vera,"70""",Switch,http://ufcstats.com/fighter-details/7c7332319c14094c
"Oct 24, 1994","5' 11""",Sean O'Malley,"72""",Switch,http://ufcstats.com/fighter-details/b50a426a33da0012
"Mar 17, 1988","6' 4""",Jairzinho Rozenstruik,"78""",Orthodox,http://ufcstats.com/fighter-details/2cd428e9606856fd
"Jan 30, 1984","6' 4""",Junior Dos Santos,"77""",Orthodox,http://ufcstats.com/fighter-details/63def5a5662a6917
"Aug 06, 1985","5' 7""",Daniel Pineda,"69""",Orthodox,http://ufcstats.com/fighter-details/361d49960a196976
"Feb 02, 1988","5' 9""",Herbert Burns,"73""",Orthodox,http://ufcstats.com/fighter-details/4f140403000158b5
"Jan 10, 1991","5' 6""",Merab Dvalishvili,"68""",Orthodox,http://ufcstats.com/fighter-details/c03520b5c88ed6b4
"Sep 26, 1984","5' 3""",John Dodson,"66""",Orthodox,http://ufcstats.com/fighter-details/99506df1af6c8b3b
"Nov 23, 1982","5' 10""",Vinc Pichel,"72""",Orthodox,http://ufcstats.com/fighter-details/c77a953488e5607d
"Aug 30, 1983","5' 8""",Jim Miller,"71""",Southpaw,http://ufcstats.com/fighter-details/d1941565abf50b16
"May 30, 1988","5' 3""",Virna Jandiroba,"64""",Orthodox,http://ufcstats.com/fighter-details/7dda2cf308f24a02
"Sep 18, 1984","5' 4""",Felice Herrig,"65""",Orthodox,http://ufcstats.com/fighter-details/b6850671a008bf9a
"Mar 14, 1987","5' 8""",Danny Chavez,"67""",Orthodox,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c
"May 22, 1990","5' 9""",TJ Brown,"72""",Switch,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
