date,division,event_url,fight_url,fighter,fighter_url,method,opponent,opponent_url,result,round,time,knockdowns,pass,reversals,sub_attempts,takedowns_landed,takedowns_attempts,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts,clinch_strikes_landed,clinch_strikes_attempts,ground_strikes_landed,ground_strikes_attempts
"August 15, 2020",Heavyweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/3bdacc82209b33f5,Stipe Miocic,http://ufcstats.com/fighter-details/d28dee5c705991df,U-DEC,Daniel Cormier,http://ufcstats.com/fighter-details/d967f0128c323de6,W,5,5:00,1,0,0,0,0,6,115,187,171,244,67,136,31,34,17,17,101,169,14,18,0,0
"August 15, 2020",Heavyweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/3bdacc82209b33f5,Daniel Cormier,http://ufcstats.com/fighter-details/d967f0128c323de6,U-DEC,Stipe Miocic,http://ufcstats.com/fighter-details/d28dee5c705991df,L,5,5:00,0,0,0,0,1,2,105,183,145,223,70,132,11,24,24,27,95,171,10,12,0,0
"August 15, 2020",Bantamweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/7200343d2e957cf3,Marlon Vera,http://ufcstats.com/fighter-details/7c7332319c14094c,KO/TKO,Sean O'Malley,http://ufcstats.com/fighter-details/b50a426a33da0012,W,1,4:40,0,0,0,0,0,0,18,30,18,30,5,10,4,10,9,10,11,22,0,0,7,8
"August 15, 2020",Bantamweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/7200343d2e957cf3,Sean O'Malley,http://ufcstats.com/fighter-details/b50a426a33da0012,KO/TKO,Marlon Vera,http://ufcstats.com/fighter-details/7c7332319c14094c,L,1,4:40,0,0,0,0,0,0,10,21,10,21,3,12,4,6,3,3,10,21,0,0,0,0
"August 15, 2020",Heavyweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/dc24c4759651c6ad,Jairzinho Rozenstruik,http://ufcstats.com/fighter-details/2cd428e9606856fd,KO/TKO,Junior Dos Santos,http://ufcstats.com/fighter-details/63def5a5662a6917,W,2,3:47,1,0,0,0,0,0,42,66,42,66,21,41,1,2,20,23,30,49,0,0,12,17
"August 15, 2020",Heavyweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/dc24c4759651c6ad,Junior Dos Santos,http://ufcstats.com/fighter-details/63def5a5662a6917,KO/TKO,Jairzinho Rozenstruik,http://ufcstats.com/fighter-details/2cd428e9606856fd,L,2,3:47,0,0,0,0,0,0,24,44,24,44,6,22,13,15,5,7,24,44,0,0,0,0
"August 15, 2020",Featherweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/0d9e9127c62811f9,Daniel Pineda,http://ufcstats.com/fighter-details/361d49960a196976,KO/TKO,Herbert Burns,http://ufcstats.com/fighter-details/4f140403000158b5,W,2,4:37,0,4,1,0,1,2,57,75,173,205,50,65,4,7,3,3,8,13,1,1,48,61
"August 15, 2020",Featherweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/0d9e9127c62811f9,Herbert Burns,http://ufcstats.com/fighter-details/4f140403000158b5,KO/TKO,Daniel Pineda,http://ufcstats.com/fighter-details/361d49960a196976,L,2,4:37,0,4,0,0,3,4,10,22,35,48,6,15,2,5,2,2,5,15,1,2,4,5
"August 15, 2020",Bantamweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/57939328c1214107,Merab Dvalishvili,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,U-DEC,John Dodson,http://ufcstats.com/fighter-details/99506df1af6c8b3b,W,3,5:00,0,0,0,0,2,20,50,133,88,171,16,94,4,9,30,30,25,108,25,25,0,0
"August 15, 2020",Bantamweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/57939328c1214107,John Dodson,http://ufcstats.com/fighter-details/99506df1af6c8b3b,U-DEC,Merab Dvalishvili,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,L,3,5:00,0,0,0,0,0,0,27,86,31,90,11,63,9,16,7,7,26,83,1,3,0,0
"August 15, 2020",Lightweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/054794810817c1cc,Vinc Pichel,http://ufcstats.com/fighter-details/c77a953488e5607d,U-DEC,Jim Miller,http://ufcstats.com/fighter-details/d1941565abf50b16,W,3,5:00,0,6,0,0,3,5,41,78,84,124,27,64,11,11,3,3,15,35,9,11,17,32
"August 15, 2020",Lightweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/054794810817c1cc,Jim Miller,http://ufcstats.com/fighter-details/d1941565abf50b16,U-DEC,Vinc Pichel,http://ufcstats.com/fighter-details/c77a953488e5607d,L,3,5:00,0,2,1,2,2,2,14,39,26,57,6,30,5,6,3,3,7,27,4,6,3,6
"August 15, 2020",Women's Strawweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/5081319e58f9759f,Virna Jandiroba,http://ufcstats.com/fighter-details/7dda2cf308f24a02,SUB,Felice Herrig,http://ufcstats.com/fighter-details/b6850671a008bf9a,W,1,1:44,0,3,0,2,1,1,4,5,12,15,4,5,0,0,0,0,0,0,0,0,4,5
"August 15, 2020",Women's Strawweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/5081319e58f9759f,Felice Herrig,http://ufcstats.com/fighter-details/b6850671a008bf9a,SUB,Virna Jandiroba,http://ufcstats.com/fighter-details/7dda2cf308f24a02,L,1,1:44,0,0,0,0,0,0,1,1,3,3,0,0,0,0,1,1,1,1,0,0,0,0
"August 15, 2020",Featherweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/3e4b8bd71e8bceb2,Danny Chavez,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c,U-DEC,TJ Brown,http://ufcstats.com/fighter-details/d31cbcdd7d69536d,W,3,5:00,0,2,0,0,4,4,49,110,52,113,23,81,8,9,18,20,40,97,0,0,9,13
"August 15, 2020",Featherweight,http://ufcstats.com/event-details/bda04c573563cc2e,http://ufcstats.com/fight-details/3e4b8bd71e8bceb2,TJ Brown,http://ufcstats.com/fighter-details/d31cbcdd7d69536d,U-DEC,Danny Chavez,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c,L,3,5:00,0,0,0,0,0,6,43,139,59,156,25,103,12,24,6,12,38,132,5,7,0,0
